"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","16","23","1","1","46.172508","0","93"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","16","23","1","1","52.481945","0","63"
"/Game/StarterContent/Materials/M_Glass.M_Glass","16","33","1","1","80.103996","0","116"
"/Game/Meshes/Modular/Hallway2/M_TrimSheet.M_TrimSheet","16","14","1","1","25.215094","0","43"
"/Game/Meshes/Modular/Hallway2/M_HallwayFloor.M_HallwayFloor","16","14","1","1","22.698320","0","32"
"/Game/Meshes/Modular/Hallway2/M_CautionTape.M_CautionTape","16","14","1","1","25.168190","0","41"
"/Game/Meshes/Modular/Hallway2/standardSurface1.standardSurface1","16","14","14","1","24.853664","0","21"
"/Game/Meshes/Modular/Hallway2/M_Light.M_Light","16","14","1","1","24.804281","0","33"
"/Game/Meshes/Modular/Hallway2/M_Glass.M_Glass","16","14","1","1","26.999662","0","67"
"/Game/Meshes/Modular/Gen_Room/M_AccentWalls.M_AccentWalls","16","14","1","1","33.488167","0","50"
"/Game/Meshes/Modular/Gen_Room/standardSurface2.standardSurface2","16","14","1","1","32.767918","0","42"
"/Game/Meshes/Modular/Gen_Room/M_CautionTape.M_CautionTape","16","14","1","1","34.831383","0","38"
"/Game/Meshes/Modular/Gen_Room/M_GenRoomFloor_A.M_GenRoomFloor_A","16","14","1","1","30.223696","0","42"
"/Game/Meshes/Modular/Gen_Room/M_TrimSheet2.M_TrimSheet2","16","14","1","1","33.452400","0","44"
"/Game/Meshes/Modular/Gen_Room/M_Wall.M_Wall","16","14","1","1","32.934696","0","48"
"/Game/Meshes/Modular/Gen_Room/standardSurface1.standardSurface1","16","14","1","1","31.656487","0","52"
"/Game/Meshes/Modular/Gen_Room/M_Glass.M_Glass","16","14","1","1","33.030407","0","44"
"/Game/Meshes/Modular/Control_Room/New_Control/M_AccentWalls.M_AccentWalls","16","14","2","1","33.866215","0","48"
"/Game/Meshes/Modular/Control_Room/New_Control/M_ConsolePanelWall.M_ConsolePanelWall","16","14","1","1","31.561207","0","38"
"/Game/Meshes/Modular/Control_Room/New_Control/M_FloorPurple.M_FloorPurple","16","14","1","1","30.084202","0","38"
"/Game/Meshes/Modular/Control_Room/New_Control/standardSurface2.standardSurface2","16","14","1","1","30.708782","0","34"
"/Game/Meshes/Modular/Control_Room/standardSurface1.standardSurface1","16","14","1","1","27.799976","0","42"
"/Game/Meshes/Modular/Control_Room/New_Control/M_CautionTape.M_CautionTape","16","14","1","1","30.813961","0","59"
"/Game/Meshes/Modular/Control_Room/New_Control/M_TrimSheet2.M_TrimSheet2","16","14","2","1","28.017109","0","32"
"/Game/Meshes/Modular/Control_Room/New_Control/M_FloorGrey.M_FloorGrey","16","14","1","1","25.827358","0","53"
"/Game/Meshes/Modular/Control_Room/New_Control/M_Wall.M_Wall","16","14","14","1","27.012253","0","21"
"/Game/Meshes/Modular/Control_Room/New_Control/standardSurface1.standardSurface1","16","14","14","1","25.423244","0","14"
"/Game/Meshes/Modular/Control_Room/New_Control/M_ConsoleBeam.M_ConsoleBeam","16","14","1","1","34.293945","0","42"
"/Game/Meshes/Modular/Control_Room/New_Control/M_Glass.M_Glass","16","14","1","1","34.771362","0","49"
"/Game/Meshes/Modular/Control_Room/M_AccentWalls.M_AccentWalls","16","14","3","1","31.155252","0","38"
"/Game/Meshes/Modular/Control_Room/M_AirVent.M_AirVent","16","14","14","1","25.238167","0","14"
"/Game/Meshes/Modular/Control_Room/M_CautionTape.M_CautionTape","16","14","1","1","33.817291","0","38"
"/Game/Meshes/Modular/Control_Room/M_TrimSheet2.M_TrimSheet2","16","14","1","1","30.974005","0","38"
"/Game/Meshes/Modular/Control_Room/M_Wall.M_Wall","16","14","1","1","28.710251","0","40"
"/Game/Meshes/Modular/Control_Room/M_ConsoleBeam.M_ConsoleBeam","16","14","1","1","32.568611","0","41"
"/Game/Meshes/Modular/Control_Room/M_Glass.M_Glass","16","14","1","1","32.024746","0","44"
"/Game/Meshes/Modular/M_Pipes.M_Pipes","16","14","2","1","34.159599","0","33"
"/Game/Meshes/Modular/M_StorageCrates2.M_StorageCrates2","16","14","1","1","27.732275","0","33"
"/Game/Meshes/Modular/standardSurface1.standardSurface1","16","14","1","1","26.712099","0","37"
"/Game/Meshes/Modular/M_Light.M_Light","16","14","1","1","27.599171","0","34"
"/Game/Meshes/Props/M_Mask.M_Mask","16","14","1","1","34.260284","0","55"
"/Game/Meshes/Props/standardSurface1.standardSurface1","16","14","1","1","30.925783","0","40"
"/Game/Meshes/Props/standardSurface3.standardSurface3","16","14","2","1","31.332108","0","39"
"/Game/Meshes/Props/M_Glass.M_Glass","16","14","1","1","26.726032","0","41"
"/Game/Materials/Character/MI_standardSurface1.MI_standardSurface1","16","14","1","1","24.105051","0","33"
"/Game/Materials/M_YellowButton.M_YellowButton","16","18","1","1","36.336498","0","49"
"/Game/Materials/SM_Basic.SM_Basic","16","14","1","1","29.949488","0","38"
"/Game/Materials/M_Emissive_Test.M_Emissive_Test","16","3","3","1","5.942143","0","3"
"/Game/Materials/M_RedButton.M_RedButton","16","18","1","1","32.191444","0","50"
"/Game/Materials/M_Solid.M_Solid","16","35","1","1","67.060478","0","102"
"/Game/Materials/M_BlueButton.M_BlueButton","16","18","1","1","33.334213","0","46"
"/Game/Materials/M_ScreenOff.M_ScreenOff","16","14","1","1","25.792994","0","32"
"/Game/Materials/M_EmissiveButton.M_EmissiveButton","16","18","1","1","39.817127","0","62"
"/Game/Materials/lambert1.lambert1","16","23","1","1","44.412354","0","64"
"/Game/Materials/M_GreenButton.M_GreenButton","16","18","1","1","43.450584","0","49"
"/Game/Materials/M_PurpleButton.M_PurpleButton","16","18","1","1","52.151707","0","54"
"/Game/Materials/M_FlashingColor.M_FlashingColor","16","14","1","1","38.174644","0","39"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","16","67","1","1","184.551727","0","412"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","16","4","4","1","8.777267","0","5"
"/Engine/MapTemplates/Materials/BasicAsset01.BasicAsset01","16","35","1","1","98.024765","0","116"
"/Engine/Tutorial/SubEditors/TutorialAssets/Character/TutorialTPP_Mat.TutorialTPP_Mat","16","26","1","1","70.280411","0","85"
"/Engine/EngineDebugMaterials/BlackUnlitMaterial.BlackUnlitMaterial","16","6","1","1","12.648757","0","14"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","16","35","1","1","96.474533","0","125"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","16","5","1","1","11.059744","0","12"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","16","7","7","1","15.154275","0","8"
"/ControlRig/M_Manip.M_Manip","16","7","7","1","12.390147","0","10"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","16","35","1","1","81.991676","0","127"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","16","35","1","1","76.283768","0","128"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","16","35","1","1","97.365509","0","168"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","16","28","1","1","67.889603","0","106"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","16","40","2","2","101.941788","0","159"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","16","4","1","1","9.331292","0","10"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","16","4","1","1","7.819636","0","10"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","16","50","36","6","96.355064","0","95"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","16","66","1","1","404.558258","0","244"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","16","6","6","1","12.646605","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","16","87","1","1","239.084213","0","445"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","16","127","1","1","369.659393","0","819"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","16","617","7","1","1483.383789","0","10685"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","16","28","15","1","60.709415","0","132"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","16","23","1","1","62.153748","0","77"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","16","23","1","1","63.601086","0","84"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","16","23","1","1","62.775211","0","57"
"/Game/StarterContent/Props/Materials/M_Door.M_Door","16","23","1","1","62.238400","0","85"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","16","23","1","1","63.620037","0","76"
"/Game/StarterContent/Props/Materials/M_Statue.M_Statue","16","23","2","1","57.307709","0","79"
"/Game/StarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","16","33","1","1","116.462120","0","140"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","16","4","4","1","6.919045","0","5"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","16","35","1","1","70.889351","0","129"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","16","4","4","1","6.014729","0","6"
"/Game/Materials/GlassMaster.GlassMaster","16","52","2","2","139.471405","0","152"
"/Engine/EngineDebugMaterials/HeatmapMaterial.HeatmapMaterial","16","3","3","1","5.035297","0","3"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","16","4","1","1","10.331270","0","10"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","16","56","1","1","159.887299","0","261"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","16","82","1","1","256.769836","0","433"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","16","42","42","2","109.685638","14","127"
"/Game/StarterContent/FirstPerson/FirstPersonArms/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","16","52","1","1","109.317787","0","199"
"/Game/StarterContent/FirstPerson/FPWeapon/Materials/M_FPGun.M_FPGun","16","52","1","1","101.549629","0","250"
"/Game/Materials/MasterMaterialAlpha.MasterMaterialAlpha","16","41","1","1","82.473427","0","130"
"/Game/Materials/MasterMaterial.MasterMaterial","16","46","11","2","90.246902","0","212"
"/Game/Materials/M_PrototypeGrid.M_PrototypeGrid","16","69","11","3","147.872131","0","312"
